people,img_id,Layer,X,Y,GrayValue
shn,frame_005689,0,145,299,248.14
shn,frame_005689,1,145,299,238.52
shn,frame_005689,2,145,299,120.8
shn,frame_005689,3,145,299,146.95
shn,frame_005689,4,145,299,247.7
shn,frame_005689,5,145,299,214.93
shn,frame_005689,6,145,299,110.24
shn,frame_005689,7,145,299,136.32
shn,frame_005689,8,145,299,248.26
shn,frame_005689,9,145,299,212.88
shn,frame_005689,10,145,299,111.34
shn,frame_005689,11,145,299,133.01
shn,frame_005689,12,145,299,248.11
shn,frame_005689,13,145,299,232.77
shn,frame_005689,14,145,299,119.11
shn,frame_005689,15,145,299,141.13
shn,frame_005695,0,144,298,248.42
shn,frame_005695,1,144,298,240.31
shn,frame_005695,2,144,298,122.31
shn,frame_005695,3,144,298,147.11
shn,frame_005695,4,144,298,248.72
shn,frame_005695,5,144,298,215.27
shn,frame_005695,6,144,298,110.75
shn,frame_005695,7,144,298,136.99
shn,frame_005695,8,144,298,249.56
shn,frame_005695,9,144,298,213.66
shn,frame_005695,10,144,298,111.92
shn,frame_005695,11,144,298,133.08
shn,frame_005695,12,144,298,248.11
shn,frame_005695,13,144,298,234.11
shn,frame_005695,14,144,298,118.34
shn,frame_005695,15,144,298,139.54
shn,frame_005719,0,144,297,250.02
shn,frame_005719,1,144,297,241.31
shn,frame_005719,2,144,297,120.47
shn,frame_005719,3,144,297,148.81
shn,frame_005719,4,144,297,249.34
shn,frame_005719,5,144,297,216.95
shn,frame_005719,6,144,297,113.3
shn,frame_005719,7,144,297,139.18
shn,frame_005719,8,144,297,249.59
shn,frame_005719,9,144,297,221.65
shn,frame_005719,10,144,297,117.76
shn,frame_005719,11,144,297,140.18
shn,frame_005719,12,144,297,249.05
shn,frame_005719,13,144,297,240.12
shn,frame_005719,14,144,297,122.49
shn,frame_005719,15,144,297,145.99
shn,frame_005756,0,142,301,246.9
shn,frame_005756,1,142,301,233.97
shn,frame_005756,2,142,301,119.13
shn,frame_005756,3,142,301,144.59
shn,frame_005756,4,142,301,246.16
shn,frame_005756,5,142,301,211.56
shn,frame_005756,6,142,301,109.71
shn,frame_005756,7,142,301,136.79
shn,frame_005756,8,142,301,247.99
shn,frame_005756,9,142,301,212.01
shn,frame_005756,10,142,301,110.21
shn,frame_005756,11,142,301,136.21
shn,frame_005756,12,142,301,247.6
shn,frame_005756,13,142,301,228.46
shn,frame_005756,14,142,301,117.21
shn,frame_005756,15,142,301,142.61
shn,frame_005989,0,107,277,248.33
shn,frame_005989,1,107,277,234.77
shn,frame_005989,2,107,277,115.46
shn,frame_005989,3,107,277,150.77
